"id","comic_id","title","chapter_index"
"3401","120","02 Rồng Gãy Cánh, Liệu Có Trở Về Bầu Trời?","41437"
"2647","91","Dự báo","82323"
"3403","120","04 Nỗi Lo Đã Đến! Mày Là Ai?","43205"
"89","8","Dự báo","104348"
"90","8","Tiên Nhân Từ Đâu Mà Ra","123620"
"27375","136","Phần Một Chương 1","3"
"2285","68","Chương 1","100557"
"2130","59","004 Ý Thức Song Tinh! Đau Khổ Tột Đỉnh Thành Thần","121810"
"2131","59","005 Ai Là Quái Vật? Thế Giới Bắt Đầu Biến Đổi","122631"
"2132","59","006 Cứu Thế Chủ! Thế Giới Thay Đổi Quá Nhanh","122634"
"2134","59","008 Cú Đấm Này Phá Vỡ Hư Không!","123400"
"2135","59","009 Trật Tự Mới! Xác Định Cấp Độ","123401"
"2136","59","010 Hành Tinh Bị Đánh Dấu! Xâm Lược!","123646"
"2138","59","012 Anh Hùng Cứu Thế!","124209"
"2139","59","013 Nói Lăng Nhăng Gì Vậy!","124298"
"2140","59","014 Một Cú Đấm Bình Thường!","124879"
"2141","59","015 Chủng Tộc Đáng Ghét Nhất","125040"
"27376","136","Phần Một Chương 2 Phần 1","4"
"2409","87","67 (Phần Trước) Một Hạt Mũi Đánh Bại Bạn","121570"
"1431","12","","122469"
"1676","22","Dự báo","119304"
"1677","22","Chương 1: Tôi ra tù rồi","125310"
"1679","22","Chương 3: Tôi cũng muốn cho em gái nếm thử","125314"
"1680","22","Chương 4: Cuối cùng đã rơi vào tay tôi","125316"
"1681","22","Chương 5: Tôi không cần dựa vào ai cả","125318"
"1682","22","Chương 6: Kẻ điên","126179"
"1683","22","Chương 7: Hãy chờ xem đi","126621"
"1684","22","Chương 8: Chi tiền không tiếc cho em","126941"
"1663","21","007 Con mèo hoàng gia đầu tiên","125719"
"1420","12","","105768"
"3404","120","05 Chạy Đâu Thế! Tao Không Tha Cho Mày!","45028"
"25","4","Dự báo: ""Hẹn gặp ngày 12 tháng 9""","115586"
"26","4","0 ""Bóng Đêm""","115478"
"27","4","1 ""Danh Tính Đôi""","115482"
"27377","136","Chương 1 Chương 2 Phần 2","5"
"27379","136","Chương 1 Chương 3 Phần 2","8"
"27380","136","Chương 1 Chương 4","9"
"1685","23","Dự báo tác phẩm","98034"
"1687","23","Chương 02: Bảy chị dâu","106708"
